title,address,description,size,price_string,direction,balcony_direction,bedrooms,toilets,duty,furniture,start_date,end_date,type,id
"E n/viên CĐT xin c/nhật giá T7 Diamond Alnata Plus, Brilliant, Centery 15% nhận nhà còn lại trả 2n","Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh.","Em là Anh Thư nhân viên trực tiếp chủ đầu tư Gamuda Land đã làm việc tại dự án Celadon City 8 năm.

Em xin cập nhật rổ hàng giá sang nhượng hiện tại và giá rổ hàng còn lại mua trực tiếp CĐT. Anh chị inbox 4Em để được tư vấn rõ từng rổ hàng, giá tốt nhất và đi xem thực tế căn hộ nhé (zalo):
0359 999 ***
.

* Rổ hàng chủ đầu tư các sản phẩm 2PN, 3PN, 4PN, condo villa, Skylinked Villa và Penhouse, Hiện tại đang có 3 Chương trình bán hàng:
1/ Khách hàng thanh toán 97% kí hợp đồng và nhận nhà ở ngay: Chiết khấu 10%.

2/ Đối với khách hàng cần vay: Đóng 20% nhận nhà ở ngay, phần còn lại sẽ có chương trình ân hạn gốc và lãi trong vòng 24 tháng, từ tháng thứ 25 khách hàng mới phải đóng tiền gốc lãi cho ngân hàng.
- Chương trình này được chiết khấu 2%.

2 / Thanh toán 15% nhận nhà phần còn lại trả chậm 2 năm.
- Cọc 200tr.
- Kí Hđmb: 15% + 2% phí bảo trì nhận nhà vào ở ngay.
- Phần còn lại trả chậm trong 24 tháng (mỗi đợt 5% cách nhau 4 tháng).
- Chiết khấu ưu đãi lên đến 8,5%.
- Tặng bộ tủ kệ bếp trên dưới.
- Tặng kèm bãi đậu xe hơi dưới hầm sở hữu lâu dài gắn liền căn hộ.

* Cập nhật rổ hàng giá mới nhất tính từ 01/06/2024 (giá đã bao gồm phí bảo trì, sổ hồng và chênh lệch).
- Khu Diamond Alnata - (nhận nhà ở ngay).
2PN (85m², 92m²): Giá 4,5 tỷ.
3PN 117, 119m²: 5,7 tỷ.
Skylinked villa: 160m², 250m² (xe hơi chạy lên đỗ tận nhà chỉ có tại Celadon) Anh chị tham quan thực tế nhé.

- Khu Diamond Alnata Plus - (nhận nhà ở ngay), tặng kèm ô đậu xe dưới hầm.
2 PN (85m², 88m²): Giá 5 tỷ.
3 PN 107m², 120m²: Giá 6,3 tỷ.

- Khu Diamond Brilliant (nhận nhà ở ngay).
2 PN 97m²: Giá 5,050 tỷ.
3PN 127 - 141m²: 7,2 tỷ.

- Khu Diamond Centery (nhận nhà Quý3/2024): Sản phẩm 2PN, 3PN, duplex, Penhouse.

* Ngoài ra các sản phẩm siêu hot lại Celadon:
- Shophouse (mặt tiền đến 14 mét).
- Duplex penhouse.
- Skylinked villa (xe hơi đậu trong nhà chứa dc 2 - 3 ô to).
- Condovilla (kiểu nhà liền kề).
Anh chị liên hệ zalo/facebook/sdt/viber em để đi xem thực tế căn hộ từng view nhe.
PKD chủ đầu tư:
0359 999 ***
(Em Thư).
Mail cty: Thu. Truongnguyenanh@gamudaland.com.my.
https://celadoncitytanphu.com/diamond-celadon-city-b15.html
Văn phòng nhà mẫu: Số 68 đường N1, p. Sơn Kì, Q. Tân Phú.",96 m²,"4,8 tỷ",,,2 phòng,,Hợp đồng mua bán,Cơ bản,08/07/2024,23/07/2024,Tin VIP Kim Cương,39316217
"Tấn Trường: Cập nhật giỏ hàng The Opera Thủ Thiêm T7/2024 - Hot 2PN View Quận 1 (12,8 tỷ all in)","Dự án The Opera Residence, Đường Đại Lộ Vòng Cung, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh","Tấn Trường chuyên chuyển nhượng bất động sản Thủ Thiêm.

Giỏ hàng The Opera Thủ Thiêm T7/2024.
--------------------------------------------------------------------------------------------
Giỏ hàng căn 2PN The Opera (69 m² - 76m²).

2PN - Tháp A: Mặt ngoài - tầng thấp - View Quận 1: 12,8 - 16 tỷ.
2PN - Tháp A: Mặt ngoài - tầng cao - Quận 1, không chắn: 16 tỷ - 20,5 tỷ.
2PN - Tháp A: Mặt trong - tầng thấp - View Cầu Bason Hồ Bơi, Landmark: 16 tỷ - 16,5 tỷ.
2PN - Tháp A: Mặt trong - tầng cao - View Hồ Bơi, Cầu Bason, Landmark: 19 tỷ - 19,8 tỷ.

2PN - Tháp B: Mặt ngoài - tầng thấp - View Landmark: 12,9 tỷ - 13,9 tỷ.
2PN - Tháp B: Mặt ngoài - tầng cao - View Landmark, không chắn: 14 tỷ - 15,5 tỷ.
2PN - Tháp B: Mặt trong - tầng thấp - View Hồ Bơi, quảng trường, Landmark: 16 tỷ - 16,5 tỷ.
2PN - Tháp B: Mặt trong - tầng cao - View Hồ Bơi, quảng trường, Landmark: 19,8 tỷ - 23,5 tỷ.

Hotline:
0937 616 ***
Tấn Trường chuyên Thủ Thiêm.
--------------------------------------------------------------------------------------------
Giỏ hàng căn 3PN The Opera (138 m²).

3PN Tầng thấp, view sông 130m: 25 tỷ.
3PN - Tháp B: Tầng cao, có thang máy riêng, 137m: Giá từ 40 tỷ.
3PN - Tháp A: Tầng cao, có thang máy riêng, 137m: Giá từ 42 tỷ.
--------------------------------------------------------------------------------------------
Giỏ hàng căn 4PN The Opera (180 - 236m²).

3PN Tầng thấp, view sông 236m: 48 tỷ.

Hotline:
0937 616 ***
Tấn Trường chuyên Thủ Thiêm.
--------------------------------------------------------------------------------------
Chuyên Chuyển nhượng thị trường Thủ Thiêm.
- Giỏ hàng đa dạng nhiều căn - nhiều view cho khách lựa chọn.
- Cam kết cập nhật mới nhất từ chủ nhà.
- Cầm key xem 24/7.
Hotline giải đáp 10 vạn câu hỏi vì sao?:
0937 616 ***
Tấn Trường chuyên Thủ Thiêm.",70 m²,"12,8 tỷ",,,2 phòng,2 phòng,Hợp đồng mua bán.,,18/07/2024,28/07/2024,Tin VIP Kim Cương,40151129
"Rổ hàng Celadon City, mua trực tiếp CĐT, TT 15% nhận nhà, tặng ô đậu xe ô tô, ân hạn gốc lãi 2 năm","Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh","Em Nhã Lynh Sale PKD CĐT Gamuda Land xin cập nhật các căn Clear Stok tại phân khu Diamond Alnata, Brilliant, Alnata Plus, Centery khu đô thị xanh Celadon City:
0932 163 ***
zalo/phone).

Rổ hàng chủ đầu tư các sản phẩm 1PN, 2PN, 3PN, 4PN, Condo villa, Skylinked Villa và Penthouse.
Chương trình bán hàng:
- Cọc 100 - 200tr.
- Kí HĐMB: 15% + 2% phí bảo trì nhận nhà vào ở ngay.
- Phần còn lại trả chậm trong 24 tháng (mỗi đợt 10% cách nhau 3 tháng).
- Chiết khấu ưu đãi 10%.
- Tặng bộ tủ kệ bếp trên dưới, bếp từ, máy hút mùi, máy nước nóng gián tiếp, dàn điều hoà (Daikin, Samsung), thiết bị vệ sinh Châu Âu (Grohe, Duravit).
- Tặng kèm chỗ đậu xe hơi định danh dưới hầm sở hữu lâu dài gắn liền căn hộ.

* Đối với Khách hàng cần vay: Sẽ có chương trình ân hạn gốc và lãi trong vòng 24 tháng, từ tháng thứ 25 khách hàng mới phải đóng tiền gốc lãi cho ngân hàng.

* Rổ hàng sang nhượng giá tốt:
- Diamond Alnata - (nhận nhà ở ngay).
2PN (85m²): Giá từ 4,650,000,000 vnd.
3PN (117m²): Giá từ 5tỷ 950 vnd.
Skylinked villa diện tích 160m²: Giá 8 tỷ 700,000,000 vnd (xe hơi chạy lên đỗ tận nhà chỉ có tại Celadon).

- Diamond Alnata Plus - (nhận nhà ở ngay), tặng kèm ô đậu xe dưới hầm.
2 PN (85m²): Giá từ 5,070,000,000 vnd.
3 PN (107m²): Giá 6,400,000,000 vnd.
3 PN (117m²): Giá 7 tỷ 7 - HOT 1 CĂN DUY NHẤT 117M2 GIÁ 6TỶ6 ( Liên hệ em Lynh
0932 163 ***
để nhận thông tin và đi xem căn hộ )

- Diamond Brilliant (nhận nhà ở ngay).
2 PN (97m²): Giá từ 5,100,000,000 vnd.
2 PN + 1 (112m²): Giá từ 5tỷ 8 vnd (co thể thiết kế thành 3Pn).
3PN (127m²): Giá từ 7ty 7 vnd.
3PN + 1 (160m²): Giá từ 9 tỷ vnd.

- Diamond Centery (nhận nhà Quý 3/2024): Sản phẩm 2Pn, 3PN, duplex, Penhouse.
2 PN (86m²): Giá 5tỷ 75 vnd.
3PN (121m²): Giá 7,450,000,000 vnd.
Thanh toán 15% ký HĐMB, phần còn lại TT dãn trong 24 tháng (dự kiến tháng 9/2024 nhận nhà).

* Ngoài ra các sản phẩm hot tại Celadon City.

- Hỗ trợ tận tình - Tư vấn tận tâm - Giá cả tốt nhất.
- Luôn luôn cập nhật giỏ hàng những căn giá tốt từng ngày.
- Cung cấp thông tin rõ ràng, chính xác.
- Hỗ trợ 24/7. Em Lynh
0932 163 ***
zalo/phone).

* Ngân hàng hỗ trợ vay vốn lên đến 80% giá trị căn hộ trong vòng 25 năm với nhiều lãi suất ưu đãi tối ưu: HongLeong, Public, Vietcombank, MB bank, BIDV...

Hotline PKD chủ đầu tư:
0932 163 ***
.
https://celadoncity-tanphu.com/",97 m²,"5,08 tỷ",,,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,19/07/2024,29/07/2024,Tin VIP Kim Cương,40439895
"Chính chủ cần ra gấp căn Vinhomes Bason siêu đẹp 3PN view sông Sài Gòn Bitexco giá 22tỷ, 0908 494 ***","Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh","Cần ra gấp căn Vinhome Bason siêu đẹp 3PN View sông Sài Gòn Bitexco giá.
Diện tích: 112.7m². (Đã có sổ hồng).
Thiết kế hiện đại, nội thất cao cấp.
+ Vị trí của căn hộ cũng rất thuận tiện cho việc di chuyển, với nhiều tuyến đường lớn như Điện Biên Phủ, Võ Văn Kiệt, Nguyễn Huệ, đại lộ Đông Tây, cư dân dễ dàng di chuyển đến các khu vực xung quanh thành phố.
Tiện ích: Thoải mái trải nghiệm nhiều tiện ích cao cấp như hồ bơi, phòng gym, sân tennis, khu vui chơi trẻ em, khu BBQ,... Ngoài ra, tại Vinhomes Golden River còn có các dịch vụ tiện ích như siêu thị, nhà hàng, quán cà phê,.... Đem lại sự tiện lợi cho cuộc sống hàng ngày.
Gọi ngay:
0908 494 ***
để được tư vấn và xem nhà.","112,7 m²",22 tỷ,Tây - Bắc,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,16/07/2024,31/07/2024,Tin thường,40222408
"Bán gấp CH Vinhomes 2PN + chỉ 3.1 tỷ, rẻ hơn mua mới đến 900tr. LH tuân 0908 494 ***","Dự án The Origami, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh","Tổng hợp nhiều căn Vinhomes chính chủ đang cần bán nhanh cần thu hồi vốn.
1 số căn Origami khách hàng cần thu hồi vốn, bán lỗ từ 900 triệu - 1 tỷ so với giá mua ban đầu.
3PN, 2WC S10.07 - 1x. 21 view khu dân cư, thành phố thoáng, giá gốc 4.1 tỷ, bán 3.1 tỷ. (DT 69.2m²).

Tiện ích nội khu:
- Công viên ánh sáng 36ha.
- Bãi biển nhân tạo, có khu vực tiệc nướng BBQ.
- Tiện ích xung quanh: Circle K, Family Mart, Start Buck, Highland, Pharmacity, Vinschool. Và Vincom Mall lớn nhất miền nam sẽ được khai trương vào tháng 6 năm sau.
- Khu vực an ninh tuyệt đối 24/24, dân cư văn minh.

Hiện tại nhiều căn hộ đã bắt đầu có sổ hồng, có thể mua bán sang tên ngay!

Giỏ hàng cập nhật liên tục, tổng hợp nhiều căn khu Origami đang cần bán nhanh, giá cực tốt, bớt lộc mạnh cho khách thiện chí.

Ngoài ra em còn nhận booking và bán mới giỏ hàng phân khu Origami từ chủ đầu tư, Tất cả các sản phẩm đều được hỗ trợ vay 70% giá bán. Ân hạn gốc 12 tháng kể từ khi khách mua và làm hồ sơ vay mới.
- Thanh toán 10% kí hợp đồng mua bán.
- Thanh toán 15% nhận nhà ở ngay.
- Ngân hàng hỗ trợ lãi 0% lên tới 18 tháng.
- 24 tháng tiếp theo không áp lực Ngân hàng khi chủ đầu tư hỗ trợ khoản lãi 8%/năm, phần lãi phát sinh vượt quá khách sẽ tự thanh toán.

Anh chị liên hệ em Tuấn
0908 494 ***
để được tư vấn thêm nhiều chính sách ưu đãi, hỗ trợ xem nhà 24/7.","69,2 m²","3,1 tỷ",Đông - Nam,Tây - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,18/07/2024,02/08/2024,Tin thường,39209862
Bán 1PN + full nội thất giá rẻ nhất Vinhomes Grand Park,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh","Chính chủ bán nhanh 1PN + full nội thất ngay cạnh Origami đã có sổ hồng.
- Nội thất như hình.
- Diện tích tim tường : 47m².
- Inb xem sổ hồng qua zalo.",47 m²,"1,85 tỷ",,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,20/07/2024,30/07/2024,Tin thường,39430830
"Chủ thân em gửi bán 2PN 74.8m2 4.2T Precia Quận 2. Hỗ trợ cho vay 70%, LH 0965 431 ***","Dự án Căn hộ Precia Quận 2, Đường Nguyễn Thị Định, Phường An Phú, Quận 2, Hồ Chí Minh","Hỗ trợ cho vay 70% hồ sơ nhanh.
- Căn hộ 2PN: Diện tích 74.8m². Có sổ và có nội thất, giá bán tốt 4.2 tỷ có thuê phí.
- Có thể đi xem nhà nhanh, hướng nhà rất mát.

Liên hệ ngay để nhận tư vấn và xếp lịch xem nhà (24/24).
Em PKD Precia, hỗ trợ mọi thủ tục và tư vấn tận tâm.
Cảm ơn anh chị đã xem tin.","74,8 m²","4,2 tỷ",,,2 phòng,2 phòng,Có sổ,Có nội thất.,13/07/2024,23/07/2024,Tin thường,33632320
"Bán căn 2PN thiết kế phong cách nhật đã có sổ tặng full NT, thu giá chỉ 1,690 tỷ","Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh","Bán căn 2PN thiết kế phong cách nhật tặng full NT giá chỉ 1,690 tỷ.

- Vị trí: Vinhomes Grand Park - TP. Thủ Đức.
- Loại căn: 2PN Thiết kế từ căn studio diện tích lớn.
- Diện tích 31,5m².
- Thu nhập thuê từ 7 triệu / tháng.
- Tặng full nội thất Nhật Bản.
- Đã có sổ hồng công chứng ngay.
- Giá 1,690 tỷ all in.

Xem nhà liên hệ Thiên Ân (call / zalo)
0945 040 ***
.
Cảm ơn anh chị đã xem tin!","31,5 m²","1,69 tỷ",,,2 phòng,,Sổ đỏ/ Sổ hồng,Full NT.,13/07/2024,23/07/2024,Tin thường,40392859
Chỉ 1tỷ2 sở hữu ngay căn hộ đường Nguyễn Văn Khối Gò Vấp 35m2 nội thất đầy đủ CV Làng Hoa Gò Vấp,"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh","Căn hộ tại công viên Làng Hoa, Gò Vấp - Đầy đủ nội thất.

Địa chỉ: Ngay công viên Làng Hoa, đường Lê Văn Thọ, Gò Vấp.
Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh.
Diện tích: Từ 35.2m².
Giá bán: 1.2 tỷ.
Phòng ngủ: 1PN + 1; Nhận nhà đầy nội thất.

Bộ nội thất cao cấp: TV, tủ lạnh, máy lạnh, sofa, bàn ăn, giường ngủ, tủ quần áo, bếp...

Tiện ích:

Camera an ninh 24/7.
Hồ bơi, phòng gym.
Khu vui chơi trẻ em.
Kết nối giao thông: Nằm ngay công viên Làng Hoa Gò Vấp, đường Lê Văn Thọ cách Quang Trung chỉ 400m. Thuận tiện di chuyển đến các khu vực lân cận như Bình Thạnh, Quận Phú Nhuận, sân bay Tân Sơn Nhất và nhiều điểm thương mại, giải trí khác trong thành phố.

Chính sách bán hàng:

Thanh toán linh hoạt: Theo tiến độ hạ tầng, hỗ trợ thanh toán trong vòng 3 năm.
Chương trình khuyến mãi: Chiết khấu ngay 20 triệu tiền mặt khi mua ngay và nhận bộ thất trị giá 70 triệu đồng.
Lh
0903 066 ***
xem nhà mẫu thực tế.","35,2 m²","1,2 tỷ",,,1 phòng,1 phòng,,"TV, tủ lạnh, máy lạnh, sofa, bàn ăn, giường ngủ, tủ quần áo, bếp...",21/07/2024,31/07/2024,Tin thường,39764263
"Penhouse Celadon City 273.2m2 giá 17,65tỷ có sân vườn trong nhà chỉ 1căn duy nhất Diamond Centery","Dự án Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh","Sản phẩm cao cấp duy nhất chỉ có tại khu Diamond Centery, có 1 trong 2.
- Penhouse (căn hộ thông tầng).
- Diện tích: 273,2m²/204,2m².
- Giá bán 102%: 17,650,000,000 đ (giá thật đã bao gồm sổ hồng và phí bảo trì).
- Trong nhà có khu vực riêng làm sân tập gym, phong đa năng, BBQ Tại nhà, sở hữu 1 sân vườn rộng lớn phía sau, sử dụng tiện ích chuẩn 5* (nghĩ dưỡng tại gia), sân gold, hồ bơi lên đến 1282m², phòng gym, yoga, nhà hàng, spa, nhà hàng, khu vui chơi trê em...
- Bàn giao nhà cơ bản: Trần, đèn, bếp, máy lạnh và tặng kèm 1 bãi đậu xe hơi dưới hầm.
- Nhận nhà tháng 9.2024.

Anh chị quan tâm liên hệ em đi xem thực tế căn hô penhouse để cùng trải nghiệm cảm giác có 1 không 2 ạ:
0359 999 ***
Em Thư).
https://celadoncitytanphu.com/diamond-centery-by-celadon-city-bid114.html","273,2 m²","17,65 tỷ",,,,,Hợp đồng mua bán,Cơ bản,15/07/2024,30/07/2024,Tin thường,40399262
